"ID,""Descricao"",""ID_OCUPA_N"""
"110,""BOMBEIRO DE SEGURANCA DO TRABALHO"",""517110"""
"111,""SALVA-VIDAS"",""517115"""
"112,""AGENTE DE POLICIA FEDERAL"",""517205"""
"113,""POLICIAL RODOVIARIO FEDERAL"",""517210"""
"114,""GUARDA-CIVIL MUNICIPAL"",""517215"""
"115,""AGENTE DE TRANSITO"",""517220"""
"116,""AGENTE DE PROTECAO DE AEROPORTO"",""517305"""
"117,""AGENTE DE SEGURANCA"",""517310"""
"118,""AGENTE DE SEGURANCA PENITENCIARIA"",""517315"""
"119,""VIGIA FLORESTAL"",""517320"""
"120,""VIGIA PORTUARIO"",""517325"""
"121,""VIGILANTE"",""517330"""
"122,""PORTEIRO (HOTEL)"",""517405"""
"123,""PORTEIRO DE EDIFICIOS"",""517410"""
"124,""PORTEIRO DE LOCAIS DE DIVERSAO"",""517415"""
"125,""VIGIA"",""517420"""
"126,""CICLISTA MENSAGEIRO"",""519105"""
"127,""MOTOCICLISTA NO TRANSPORTE DE DOCUMENTOS E PEQUENO"",""519110"""
"128,""CATADOR DE MATERIAL RECICLAVEL"",""519205"""
"129,""ENFERMEIRO VETERINARIO"",""519305"""
"130,""ESTETICISTA DE ANIMAIS DOMESTICOS"",""519310"""
"131,""BANHISTA DE ANIMAIS DOMESTICOS"",""519315"""
"132,""TOSADOR DE ANIMAIS DOMESTICOS"",""519320"""
"133,""PROFISSIONAL DO SEXO"",""519805"""
"134,""CARTAZEIRO"",""519905"""
"135,""CONTROLADOR DE PRAGAS"",""519910"""
"136,""ENGRAXATE"",""519915"""
"137,""GANDULA"",""519920"""
"138,""GUARDADOR DE VEICULOS"",""519925"""
"139,""LAVADOR DE GARRAFAS, VIDROS E OUTROS UTENSILIOS"",""519930"""
"140,""LAVADOR DE VEICULOS"",""519935"""
"141,""LEITURISTA"",""519940"""
"142,""RECEPCIONISTA DE CASAS DE ESPETACULOS"",""519945"""
"143,""SUPERVISOR DE VENDAS DE SERVICOS"",""520105"""
"144,""SUPERVISOR DE VENDAS COMERCIAL"",""520110"""
"145,""VENDEDOR EM COMERCIO ATACADISTA"",""521105"""
"146,""PROMOTOR DE VENDAS"",""521115"""
"147,""DEMONSTRADOR DE MERCADORIAS"",""521120"""
"148,""REPOSITOR DE MERCADORIAS"",""521125"""
"149,""ATENDENTE DE FARMACIA - BALCONISTA"",""521130"""
"150,""FRENTISTA"",""521135"""
"151,""INSTALADOR DE CORTINAS E PERSIANAS, PORTAS SANFONA"",""523105"""
"152,""INSTALADOR DE SOM E ACESSORIOS DE VEICULOS"",""523110"""
"153,""CHAVEIRO"",""523115"""
"154,""VENDEDOR EM DOMICILIO"",""524105"""
"155,""FEIRANTE"",""524205"""
"156,""JORNALEIRO (EM BANCA DE JORNAL)"",""524210"""
"157,""VENDEDOR PERMISSIONARIO"",""524215"""
"158,""VENDEDOR AMBULANTE"",""524305"""
"159,""PIPOQUEIRO AMBULANTE"",""524310"""
"160,""PRODUTOR AGROPECUARIO, EM GERAL"",""611005"""
"161,""OPERADOR DE REDE DE TELEPROCESSAMENTO"",""372205"""
"162,""RADIOTELEGRAFISTA"",""372210"""
"163,""OPERADOR DE AUDIO DE CONTINUIDADE (RADIO)"",""373105"""
"164,""OPERADOR DE CENTRAL DE RADIO"",""373110"""
"165,""OPERADOR DE EXTERNA (RADIO)"",""373115"""
"166,""OPERADOR DE GRAVACAO DE RADIO"",""373120"""
"167,""OPERADOR DE TRANSMISSOR DE RADIO"",""373125"""
"168,""TECNICO EM OPERACAO DE EQUIPAMENTOS DE PRODUCAO PA"",""373205"""
"169,""TECNICO EM OPERACAO DE EQUIPAMENTO DE EXIBICAO DE"",""373210"""
"170,""TECNICO EM OPERACAO DE EQUIPAMENTOS DE TRANSMISSAO"",""373215"""
"171,""SUPERVISOR TECNICO OPERACIONAL DE SISTEMAS DE TELE"",""373220"""
"172,""TECNICO EM GRAVACAO DE AUDIO"",""374105"""
"173,""TECNICO EM INSTALACAO DE EQUIPAMENTOS DE AUDIO"",""374110"""
"174,""TECNICO EM MASTERIZACAO DE AUDIO"",""374115"""
"175,""PROJETISTA DE SOM"",""374120"""
"176,""TECNICO EM SONORIZACAO"",""374125"""
"177,""TECNICO EM MIXAGEM DE AUDIO"",""374130"""
"178,""PROJETISTA DE SISTEMAS DE AUDIO"",""374135"""
"179,""MICROFONISTA"",""374140"""
"180,""CENOTECNICO (CINEMA, VIDEO, TELEVISAO, TEATRO E ES"",""374205"""
"181,""MAQUINISTA DE CINEMA E VIDEO"",""374210"""
"182,""MAQUINISTA DE TEATRO E ESPETACULOS"",""374215"""
"183,""OPERADOR DE PROJETOR CINEMATOGRAFICO"",""374305"""
"184,""OPERADOR-MANTENEDOR DE PROJETOR CINEMATOGRAFICO"",""374310"""
"185,""EDITOR DE TV E VIDEO"",""374405"""
"186,""FINALIZADOR DE FILMES"",""374410"""
"187,""FINALIZADOR DE VIDEO"",""374415"""
"188,""MONTADOR DE FILMES"",""374420"""
"189,""DESIGNER DE INTERIORES"",""375105"""
"190,""DESIGNER DE VITRINES"",""375110"""
"191,""VISUAL MERCHANDISER"",""375115"""
"192,""DANCARINO TRADICIONAL"",""376105"""
"193,""DANCARINO POPULAR"",""376110"""
"194,""ACROBATA"",""376205"""
"195,""ARTISTA AEREO"",""376210"""
"196,""ARTISTA DE CIRCO (OUTROS)"",""376215"""
"197,""CONTORCIONISTA"",""376220"""
"198,""DOMADOR DE ANIMAIS (CIRCENSE)"",""376225"""
"199,""EQUILIBRISTA"",""376230"""
"200,""MAGICO"",""376235"""
"201,""MALABARISTA"",""376240"""
"202,""PALHACO"",""376245"""
"203,""TITERITEIRO"",""376250"""
"204,""TRAPEZISTA"",""376255"""
"205,""APRESENTADOR DE EVENTOS"",""376305"""
"206,""APRESENTADOR DE FESTAS POPULARES"",""376310"""
"207,""APRESENTADOR DE PROGRAMAS DE RADIO"",""376315"""
"208,""APRESENTADOR DE PROGRAMAS DE TELEVISAO"",""376320"""
"209,""APRESENTADOR DE CIRCO"",""376325"""
"210,""MODELO ARTISTICO"",""376405"""
"211,""MODELO DE MODAS"",""376410"""
"212,""MODELO PUBLICITARIO"",""376415"""
"213,""ATLETA PROFISSIONAL (OUTRAS MODALIDADES)"",""377105"""
"214,""ATLETA PROFISSIONAL DE FUTEBOL"",""377110"""
"215,""ATLETA PROFISSIONAL DE GOLFE"",""377115"""
"216,""ATLETA PROFISSIONAL DE LUTA"",""377120"""
"217,""ATLETA PROFISSIONAL DE TENIS"",""377125"""
"218,""JOQUEI"",""377130"""
"219,""PILOTO DE COMPETICAO AUTOMOBILISTICA"",""377135"""
"220,""PROFISSIONAL DE ATLETISMO"",""377140"""
"221,""PUGILISTA"",""377145"""
"222,""ARBITRO DESPORTIVO"",""377205"""
"223,""ARBITRO DE ATLETISMO"",""377210"""
"224,""ARBITRO DE BASQUETE"",""377215"""
"225,""ARBITRO DE FUTEBOL"",""377220"""
"226,""ARBITRO DE FUTEBOL DE SALAO"",""377225"""
"227,""ARBITRO DE JUDO"",""377230"""
"228,""ARBITRO DE KARATE"",""377235"""
"229,""ARBITRO DE POLO AQUATICO"",""377240"""
"230,""ARBITRO DE VOLEI"",""377245"""
"231,""CRONOANALISTA"",""391105"""
